date,value
2013-09-19 02:16:07 +0100,290432
2013-09-20 02:42:51 +0100,290446
2013-09-21 02:35:34 +0100,290464
2013-09-22 02:42:30 +0100,290464
2013-09-23 14:45:25 +0100,290464
2013-09-24 02:24:38 +0100,290479
2013-09-25 02:24:18 +0100,289914
2013-09-25 11:14:19 +0100,298432
2013-09-25 15:24:36 +0100,298432
2013-09-26 02:28:48 +0100,297362
2013-09-27 03:04:57 +0100,300392
2013-09-28 02:34:11 +0100,300466
2013-09-29 02:37:28 +0100,300474
2013-09-30 02:41:33 +0100,300476
2013-10-01 02:48:10 +0100,300535
2013-10-02 02:40:18 +0100,300885
2013-10-03 02:50:49 +0100,299105
2013-10-04 02:42:18 +0100,299258
2013-10-05 02:35:24 +0100,299363
2013-10-06 02:35:14 +0100,299367
2013-10-07 02:36:02 +0100,299367
2013-10-08 02:48:25 +0100,300718
2013-10-09 02:44:15 +0100,303127
2013-10-10 02:42:47 +0100,303169
2013-10-11 02:43:24 +0100,303174
2013-10-12 02:36:46 +0100,303201
2013-10-13 02:34:49 +0100,302180
2013-10-16 02:38:31 +0100,303297
2013-10-17 02:38:11 +0100,303343
2013-10-18 03:54:04 +0100,302328
2013-10-19 04:22:37 +0100,300623
2013-10-20 03:47:14 +0100,303401
2013-10-21 03:33:15 +0100,303404
2013-10-22 03:54:27 +0100,407837
2013-10-23 04:08:12 +0100,407821
2013-10-24 03:23:20 +0100,407854
2013-10-25 03:49:11 +0100,407911
2013-10-26 02:58:11 +0100,408029
2013-10-27 04:56:02 +0000,408011
2013-10-28 03:29:04 +0000,405107
2013-10-29 03:34:38 +0000,408030
2013-10-30 03:44:23 +0000,408050
2013-10-31 04:16:06 +0000,408005
2013-11-01 19:13:36 +0000,157708
2013-11-04 10:02:58 +0000,157961
2013-11-05 03:51:50 +0000,158447
2013-11-06 03:39:36 +0000,158721
2013-11-07 03:44:18 +0000,158656
2013-11-08 03:49:56 +0000,408759
2013-11-09 04:02:57 +0000,409957
2013-11-10 03:28:18 +0000,410343
2013-11-11 03:43:31 +0000,410267
2013-11-12 04:09:49 +0000,409450
2013-11-13 04:17:11 +0000,409472
2013-11-14 03:34:20 +0000,409755
2013-11-15 03:40:17 +0000,409846
2013-11-16 03:32:06 +0000,403972
2013-11-17 03:26:32 +0000,409799
2013-11-18 03:40:30 +0000,409714
2013-11-19 03:32:58 +0000,409821
2013-11-20 03:45:31 +0000,409828
2013-11-21 00:22:41 +0000,409100
2013-11-23 03:53:55 +0000,409125
2013-11-24 03:44:40 +0000,409172
2013-11-25 03:55:14 +0000,408319
2013-11-26 03:54:42 +0000,409404
2013-11-27 02:39:15 +0000,410543
2013-11-28 02:45:13 +0000,410795
2013-11-29 02:53:16 +0000,410950
2013-11-29 13:52:45 +0000,410992
2013-11-30 02:38:52 +0000,411053
2013-12-01 02:42:02 +0000,411025
2013-12-02 02:51:58 +0000,411096
2013-12-03 04:32:38 +0000,410008
2013-12-04 04:03:25 +0000,411664
2013-12-05 03:53:11 +0000,413091
2013-12-06 02:54:29 +0000,413134
2013-12-07 02:34:50 +0000,413077
2013-12-08 02:36:39 +0000,413089
2013-12-09 02:52:24 +0000,413098
2013-12-10 02:46:19 +0000,413079
2013-12-11 02:54:20 +0000,412305
2013-12-12 03:04:44 +0000,413246
2013-12-13 02:57:01 +0000,413272
2013-12-14 02:38:45 +0000,413609
2013-12-15 03:04:13 +0000,406365
2013-12-16 02:55:23 +0000,413639
2013-12-17 02:58:50 +0000,414054
2013-12-18 02:52:19 +0000,414863
2013-12-19 03:59:42 +0000,414850
2013-12-20 04:06:15 +0000,387267
2013-12-20 16:56:27 +0000,414989
2013-12-21 02:31:09 +0000,406450
2013-12-22 08:37:23 +0000,415291
2013-12-23 04:25:16 +0000,415293
2013-12-24 04:29:27 +0000,415324
2013-12-25 03:10:58 +0000,415388
2013-12-26 03:04:01 +0000,415415
2013-12-27 03:17:26 +0000,415417
2013-12-28 03:04:54 +0000,415422
2013-12-30 02:52:57 +0000,415475
2013-12-31 02:54:44 +0000,415480
2014-01-01 02:59:11 +0000,415791
2014-01-02 04:08:28 +0000,415800
2014-01-03 04:15:04 +0000,416017
2014-01-04 02:52:31 +0000,417813
2014-01-05 02:58:11 +0000,417845
2014-01-06 04:43:07 +0000,417624
2014-01-07 04:21:33 +0000,417857
2014-01-08 04:28:04 +0000,417874
2014-01-09 11:43:05 +0000,417920
2014-01-10 03:41:39 +0000,403932
2014-01-11 02:16:17 +0000,417982
2014-01-12 02:21:34 +0000,417987
2014-01-13 02:16:21 +0000,417878
2014-01-14 02:16:39 +0000,427545
2014-01-15 02:31:55 +0000,427579
2014-01-16 02:18:22 +0000,430118
2014-01-17 02:26:19 +0000,429937
2014-01-18 02:19:36 +0000,430168
2014-01-19 02:25:23 +0000,430169
2014-01-20 02:20:22 +0000,430171
2014-01-21 02:31:17 +0000,430195
2014-01-22 02:25:21 +0000,430197
2014-01-23 02:33:16 +0000,430210
2014-01-24 02:23:38 +0000,430214
2014-01-25 02:23:24 +0000,430210
2014-01-26 02:27:56 +0000,430231
2014-01-27 02:20:07 +0000,430231
2014-01-28 02:20:35 +0000,430231
2014-01-29 02:32:21 +0000,430250
2014-01-30 02:29:49 +0000,430698
2014-01-31 02:32:44 +0000,426785
2014-02-01 02:22:35 +0000,430887
2014-02-02 02:22:29 +0000,430888
2014-02-03 02:22:15 +0000,430888
2014-02-04 02:34:23 +0000,431520
2014-02-05 02:23:50 +0000,431541
2014-02-06 02:23:50 +0000,435636
2014-02-07 02:22:38 +0000,435669
2014-02-08 02:19:58 +0000,435416
2014-02-09 02:14:32 +0000,408005
2014-02-10 02:20:55 +0000,435418
2014-02-11 02:25:28 +0000,429495
2014-02-12 02:21:54 +0000,435532
2014-02-13 02:26:51 +0000,432135
2014-02-14 02:21:14 +0000,428788
2014-02-15 02:17:54 +0000,429528
2014-02-16 02:19:40 +0000,429534
2014-02-17 02:19:50 +0000,429536
2014-02-18 02:17:59 +0000,429542
2014-02-19 02:17:50 +0000,429548
2014-02-20 02:17:17 +0000,429571
2014-02-21 02:23:49 +0000,441401
2014-02-22 02:22:10 +0000,431430
2014-02-23 02:26:46 +0000,434436
2014-02-24 02:22:52 +0000,441410
2014-02-25 02:21:02 +0000,430457
2014-02-26 02:29:21 +0000,739367
2014-02-27 02:34:26 +0000,736328
2014-02-28 02:33:32 +0000,734419
2014-03-01 02:29:31 +0000,739597
2014-03-02 02:27:03 +0000,739600
2014-03-03 02:44:38 +0000,739514
2014-03-04 02:25:32 +0000,739753
2014-03-05 02:29:58 +0000,739839
2014-03-06 02:31:45 +0000,739875
2014-03-07 02:29:18 +0000,738921
2014-03-08 02:24:15 +0000,740013
2014-03-09 02:31:12 +0000,740023
2014-03-10 02:27:04 +0000,740026
2014-03-11 02:29:47 +0000,740032
2014-03-12 02:26:49 +0000,740044
2014-03-13 02:25:06 +0000,740110
2014-03-14 02:29:40 +0000,740075
2014-03-15 02:35:19 +0000,740106
2014-03-16 02:33:30 +0000,740111
2014-03-17 02:36:43 +0000,740113
2014-03-18 02:34:14 +0000,740926
2014-03-19 02:28:56 +0000,743818
2014-03-20 02:27:37 +0000,744261
2014-03-21 02:28:59 +0000,746346
2014-03-22 02:23:55 +0000,746361
2014-03-23 02:44:03 +0000,746360
2014-03-24 02:42:23 +0000,746362
2014-03-25 02:28:46 +0000,746389
2014-03-26 02:32:32 +0000,746419
2014-03-27 02:33:42 +0000,746430
2014-03-28 02:26:32 +0000,746461
2014-03-29 14:16:02 +0000,690900
2014-03-30 03:28:39 +0100,718163
2014-03-31 02:29:42 +0100,746572
2014-04-01 02:27:17 +0100,744237
2014-04-02 02:29:08 +0100,749122
2014-04-03 02:28:29 +0100,757054
2014-04-04 02:29:57 +0100,759290
2014-04-08 02:46:31 +0100,762190
2014-04-09 02:36:44 +0100,761363
2014-04-10 02:32:11 +0100,761378
2014-04-11 03:57:01 +0100,644113
2014-04-12 02:28:21 +0100,756553
2014-04-13 02:33:56 +0100,756545
2014-04-14 02:33:30 +0100,756549
2014-04-15 02:31:44 +0100,761566
2014-04-16 02:40:52 +0100,761710
2014-04-17 02:32:11 +0100,762445
2014-04-18 02:34:14 +0100,825084
2014-04-19 02:36:10 +0100,825101
2014-04-20 02:32:54 +0100,825103
2014-04-21 02:37:03 +0100,822496
2014-04-22 02:37:55 +0100,825101
2014-04-23 04:02:54 +0100,840990
2014-04-24 02:39:03 +0100,842003
2014-04-25 02:39:31 +0100,842006
2014-04-26 02:42:56 +0100,842016
2014-04-27 02:29:16 +0100,842012
2014-04-28 02:30:50 +0100,841949
2014-04-29 02:45:35 +0100,842004
2014-04-30 02:37:46 +0100,842181
2014-05-01 02:34:44 +0100,842196
2014-05-02 02:40:09 +0100,842340
2014-05-03 02:28:30 +0100,840127
2014-05-04 02:32:23 +0100,840014
2014-05-05 02:40:28 +0100,840129
2014-05-06 02:43:49 +0100,839308
2014-05-07 02:41:17 +0100,835887
2014-05-08 02:37:50 +0100,843617
2014-05-09 02:47:07 +0100,845100
2014-05-10 02:37:52 +0100,843396
2014-05-11 02:37:42 +0100,845098
2014-05-12 02:38:38 +0100,845089
2014-05-13 02:36:47 +0100,823581
2014-05-14 02:39:16 +0100,845506
2014-05-15 02:36:06 +0100,848554
2014-05-16 02:47:36 +0100,848561
2014-05-17 03:04:38 +0100,763396
2014-05-18 02:33:13 +0100,764186
2014-05-19 02:40:32 +0100,764110
2014-05-20 03:03:44 +0100,764201
2014-05-21 02:38:40 +0100,764223
2014-05-22 02:41:01 +0100,762900
2014-05-23 02:36:18 +0100,763134
2014-05-24 02:41:54 +0100,763897
2014-05-25 02:39:44 +0100,761241
2014-05-26 02:40:23 +0100,763913
2014-05-27 02:51:58 +0100,753892
2014-05-28 02:41:32 +0100,759042
2014-05-29 02:41:37 +0100,768031
2014-05-30 02:40:04 +0100,767776
2014-05-31 02:44:16 +0100,766186
2014-06-01 02:38:21 +0100,765746
2014-06-02 02:37:23 +0100,765750
2014-06-03 02:37:31 +0100,765961
2014-06-04 02:38:24 +0100,766333
2014-06-05 02:35:42 +0100,766276
2014-06-06 02:38:04 +0100,767083
2014-06-07 02:37:35 +0100,767344
2014-06-08 02:41:40 +0100,767374
2014-06-09 02:45:27 +0100,767590
2014-06-10 02:39:36 +0100,910003
2014-06-11 02:48:24 +0100,906889
2014-06-12 02:43:23 +0100,906662
2014-06-13 02:43:44 +0100,898497
2014-06-14 02:41:52 +0100,898431
2014-06-15 02:48:58 +0100,898461
2014-06-16 02:43:03 +0100,898435
2014-06-17 09:03:57 +0100,898443
2014-06-18 02:45:02 +0100,898765
2014-06-19 02:46:01 +0100,903422
2014-06-20 02:38:39 +0100,903512
2014-06-21 02:40:35 +0100,904090
2014-06-22 02:35:54 +0100,904108
2014-06-23 02:38:42 +0100,938510
2014-06-24 02:36:37 +0100,904115
2014-06-25 18:54:13 +0100,452491
2014-06-26 03:23:52 +0100,453597
2014-06-27 03:31:26 +0100,459175
2014-06-28 03:28:14 +0100,353989
2014-06-29 03:29:46 +0100,357544
2014-06-30 03:18:23 +0100,350839
2014-07-01 02:27:24 +0100,322138
2014-07-02 02:39:01 +0100,431592
2014-07-03 02:43:11 +0100,426923
2014-07-04 03:17:39 +0100,427312
2014-07-05 02:48:00 +0100,428317
2014-07-06 02:44:42 +0100,428327
2014-07-07 02:51:35 +0100,428313
2014-07-08 03:02:12 +0100,422769
2014-07-09 02:46:09 +0100,419956
2014-07-10 02:51:15 +0100,422994
2014-07-11 02:45:10 +0100,421920
2014-07-12 02:43:23 +0100,421935
2014-07-13 02:43:32 +0100,421938
2014-07-14 02:47:00 +0100,421938
2014-07-15 02:46:58 +0100,420845
2014-07-16 02:42:16 +0100,431668
2014-07-17 02:46:17 +0100,431625
2014-07-18 02:44:15 +0100,427502
2014-07-19 02:41:10 +0100,431598
2014-07-20 02:39:41 +0100,431612
2014-07-21 02:48:36 +0100,431165
2014-07-22 02:51:59 +0100,427465
2014-07-23 02:44:13 +0100,427510
2014-07-24 02:44:25 +0100,412695
2014-07-25 02:41:15 +0100,417006
2014-07-26 02:39:35 +0100,417194
2014-07-27 02:33:02 +0100,417199
2014-07-28 02:39:50 +0100,417200
2014-07-29 02:39:37 +0100,417212
2014-07-30 02:44:11 +0100,417458
2014-07-31 02:37:16 +0100,417578
2014-08-01 02:45:26 +0100,417846
2014-08-02 02:34:49 +0100,418290
2014-08-03 03:05:19 +0100,418351
2014-08-04 02:45:32 +0100,414946
2014-08-05 02:45:33 +0100,418551
2014-08-06 02:43:20 +0100,418551
2014-08-07 02:41:52 +0100,418359
2014-08-08 02:43:24 +0100,418367
2014-08-09 02:35:17 +0100,418913
2014-08-10 02:37:17 +0100,418935
2014-08-11 02:49:09 +0100,418891
2014-08-12 02:36:56 +0100,419210
2014-08-13 02:41:52 +0100,419210
2014-08-14 02:39:20 +0100,420131
2014-08-15 02:40:32 +0100,420168
2014-08-16 02:39:22 +0100,420099
2014-08-17 02:37:23 +0100,420211
2014-08-18 02:40:14 +0100,420195
2014-08-19 02:41:31 +0100,420192
2014-08-20 02:41:02 +0100,420222
2014-08-21 02:46:25 +0100,420271
2014-08-22 02:42:42 +0100,415859
2014-08-23 02:49:08 +0100,415899
2014-08-24 02:41:34 +0100,415904
2014-08-25 02:44:26 +0100,415904
2014-08-26 02:45:33 +0100,415916
2014-08-27 02:47:23 +0100,415936
2014-08-28 02:45:45 +0100,414824
2014-08-29 02:52:17 +0100,414840
2014-08-30 02:41:53 +0100,415081
2014-08-31 02:41:54 +0100,415314
2014-09-01 02:41:45 +0100,415331
2014-09-02 02:56:38 +0100,415504
2014-09-03 02:53:41 +0100,416841
2014-09-04 03:09:09 +0100,417083
2014-09-05 02:53:14 +0100,417207
2014-09-06 02:45:18 +0100,405373
2014-09-07 02:42:16 +0100,405190
2014-09-08 03:37:13 +0100,404062
2014-09-09 02:50:39 +0100,403790
2014-09-10 02:53:39 +0100,402629
2014-09-11 03:39:38 +0100,402565
2014-09-12 02:44:06 +0100,404374
2014-09-13 02:45:19 +0100,404446
2014-09-14 02:46:09 +0100,403996
2014-09-15 02:51:21 +0100,403944
2014-09-16 02:51:21 +0100,403949
2014-09-17 02:50:45 +0100,403962
2014-09-18 02:52:25 +0100,403954
2014-09-19 02:50:21 +0100,403966
2014-09-20 02:42:56 +0100,417448
2014-09-21 02:40:59 +0100,417453
2014-09-22 02:50:35 +0100,417453
2014-09-23 02:41:41 +0100,417468
2014-09-24 02:44:22 +0100,417445
2014-09-25 02:55:33 +0100,417521
2014-09-26 02:52:05 +0100,417630
2014-09-27 02:42:14 +0100,417694
2014-09-28 02:39:29 +0100,417678
2014-09-29 02:49:32 +0100,417696
2014-09-30 02:55:10 +0100,417951
2014-10-01 02:49:49 +0100,418473
2014-10-02 02:41:17 +0100,415799
2014-10-03 02:49:54 +0100,419025
2014-10-04 02:39:51 +0100,419181
2014-10-05 02:39:01 +0100,419188
2014-10-06 02:54:09 +0100,418913
2014-10-07 02:55:15 +0100,419491
2014-10-08 02:37:06 +0100,419768
2014-10-09 02:44:53 +0100,420171
2014-10-10 02:41:25 +0100,420346
2014-10-11 02:51:31 +0100,420541
2014-10-12 02:32:17 +0100,419657
2014-10-13 02:35:14 +0100,415522
2014-10-14 02:42:31 +0100,415415
2014-10-15 03:01:00 +0100,416574
2014-10-16 02:39:19 +0100,416545
2014-10-17 02:44:57 +0100,416788
2014-10-18 02:44:18 +0100,355159
2014-10-19 02:35:20 +0100,355162
2014-10-20 02:38:03 +0100,355162
2014-10-21 02:39:54 +0100,322383
2014-10-22 03:00:57 +0100,372012
2014-10-23 02:37:10 +0100,375768
2014-10-24 02:36:48 +0100,375777
2014-11-01 02:28:50 +0000,374577
2014-11-03 02:32:02 +0000,374741
2014-11-05 02:49:43 +0000,377954
2014-11-06 02:58:43 +0000,378047
2014-11-07 02:45:22 +0000,378355
2014-11-08 02:32:13 +0000,378515
2014-11-09 02:29:46 +0000,378540
2014-11-10 02:36:49 +0000,378267
2014-11-11 02:39:57 +0000,378799
2014-11-12 02:39:23 +0000,378794
2014-11-13 02:43:39 +0000,379277
2014-11-14 02:36:10 +0000,379400
2014-11-15 02:30:19 +0000,375819
2014-11-16 02:31:03 +0000,375823
2014-11-17 02:44:07 +0000,375823
2014-11-18 02:40:33 +0000,376523
2014-11-19 02:46:01 +0000,376538
2014-11-20 02:43:56 +0000,376428
2014-11-21 02:34:50 +0000,376546
2014-11-22 02:32:51 +0000,376547
2014-11-23 02:36:45 +0000,376553
2014-11-24 02:27:24 +0000,376546
2014-11-25 02:39:42 +0000,376556
2014-11-26 02:51:07 +0000,376580
2014-11-27 02:37:04 +0000,376606
2014-11-28 02:34:52 +0000,376608
2014-11-29 02:30:27 +0000,378272
2014-11-30 02:32:57 +0000,378288
2014-12-01 03:23:50 +0000,377232
2014-12-02 02:35:18 +0000,378467
2014-12-03 02:37:48 +0000,377762
2014-12-04 02:39:05 +0000,378927
2014-12-25 06:47:47 +0000,381723
2014-12-27 02:12:03 +0000,386154
2015-01-01 02:06:34 +0000,383467
2015-01-08 02:15:51 +0000,390308
2015-01-09 02:19:20 +0000,390355
2015-01-10 02:08:34 +0000,390387
2015-01-11 02:10:14 +0000,390657
2015-01-12 02:09:15 +0000,386207
2015-01-13 02:26:54 +0000,390637
2015-01-14 02:25:05 +0000,390331
2015-01-15 02:17:41 +0000,390731
2015-01-16 02:45:10 +0000,390815
2015-01-17 02:23:33 +0000,390814
2015-01-18 02:24:16 +0000,390824
2015-01-19 02:28:33 +0000,392689
2015-01-20 02:29:20 +0000,392413
2015-01-21 02:29:20 +0000,391402
2015-01-22 02:24:08 +0000,391145
2015-01-23 02:28:52 +0000,391529
2015-01-24 02:21:55 +0000,391641
2015-01-25 02:19:33 +0000,391631
2015-01-26 02:23:29 +0000,391675
2015-01-27 02:39:09 +0000,391869
2015-01-28 02:31:51 +0000,391955
2015-01-29 02:35:26 +0000,390263
2015-01-30 04:38:45 +0000,281768
2015-01-31 02:20:09 +0000,373380
2015-02-01 02:18:26 +0000,373396
2015-02-02 02:23:17 +0000,373398
2015-02-03 02:35:02 +0000,370895
2015-02-04 02:22:32 +0000,374736
2015-02-05 02:23:09 +0000,376285
2015-02-06 02:22:13 +0000,376550
2015-02-07 02:06:23 +0000,377522
2015-02-08 02:03:34 +0000,376994
2015-02-09 02:21:09 +0000,377015
2015-02-10 02:35:33 +0000,381885
2015-02-11 02:01:42 +0000,381951
2015-02-12 03:08:40 +0000,334492
2015-02-13 02:10:34 +0000,363872
2015-02-14 02:06:14 +0000,364571
2015-02-15 02:04:16 +0000,363133
2015-02-16 02:23:09 +0000,363625
