Publisher Name,Publisher Registry Id,Version (with valid data),Reporting-Org (with valid data),Iati-identifier (with valid data),Participating Organisation (with valid data),Title (with valid data),Description (with valid data),Status (with valid data),Activity Date (with valid data),Sector (with valid data),Country or Region (with valid data),Average (with valid data),Version (with any data),Reporting-Org (with any data),Iati-identifier (with any data),Participating Organisation (with any data),Title (with any data),Description (with any data),Status (with any data),Activity Date (with any data),Sector (with any data),Country or Region (with any data),Average (with any data)
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Aasaman Nepal,aasaman,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ABAAD - Resource Center for Gender Equality,arcfge,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Abaseen Foundation UK,abaseen,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
AbleChildAfrica,ablechildafrica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Abt Associates Inc,abt,100,100,100,67,100,100,100,100,100,67,93,100,100,100,100,100,100,100,100,100,100,100
Academy for Health Development (AHEAD),ahead,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Académie de recherche et d'enseignement supérieur,ares,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to Medicine Foundation,atmf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to Seeds Foundation,atsf,100,100,100,40,100,100,100,100,90,100,93,100,100,100,100,100,100,100,100,100,100,100
Accountability Lab,alab,100,100,100,0,100,100,100,100,0,100,80,100,100,100,100,100,100,100,100,100,100,100
Acid Survivors Foundation,_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ACODEV,acodev,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Across,across,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
act4africa,act4africa,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ACTED,acted,100,100,100,67,100,100,100,67,67,100,90,100,100,100,67,100,100,100,67,67,100,90
ACTION AGAINST HUNGER SPAIN,acfspain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Action Against Hunger UK,acf,100,100,100,55,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ActionAid International,aai,100,100,100,100,100,100,100,0,0,86,79,100,100,100,100,100,100,100,43,0,95,84
ACTIONAID INTERNATIONAL KENYA,aaik,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ActionAid Rwanda,aar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ActionAid UK,aauk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Acumen,acumen,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
Adam Smith International,asi,100,100,100,22,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Adaptation Fund,af,100,100,100,100,100,100,100,0,100,100,90,100,100,100,100,100,100,100,100,100,100,100
ADD International (Action on Disability and Development),addinternational,100,100,100,100,100,100,100,100,40,50,89,100,100,100,100,100,100,100,100,40,90,93
Administração de Infra-Estruturas de Águas e Saneamento,aias,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ADRA Denmark,adra-dk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ADRA-UK,adrauk,100,100,100,100,100,100,100,100,50,100,95,100,100,100,100,100,100,100,100,50,100,95
ADS-Nyanza,ads-nyanza,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
