date,value
2013-09-27 02:32:12 -0700, 28
2013-09-27 18:32:38 -0700, 28
2013-09-28 18:36:02 -0700, 28
2013-09-29 18:39:58 -0700, 28
2013-09-30 18:46:33 -0700, 30
2013-10-01 18:38:47 -0700, 29
2013-10-02 18:48:43 -0700, 29
2013-10-03 18:40:45 -0700, 29
2013-10-04 18:33:31 -0700, 28
2013-10-05 18:32:27 -0700, 28
2013-10-06 18:34:32 -0700, 28
2013-10-07 18:46:40 -0700, 28
2013-10-08 18:42:33 -0700, 28
2013-10-09 18:40:29 -0700, 28
2013-10-10 18:41:50 -0700, 28
2013-10-11 18:34:32 -0700, 28
2013-10-12 18:32:59 -0700, 2
2013-10-13 18:44:46 -0700, 28
2013-10-14 18:31:32 -0700, 91
2013-10-15 18:36:33 -0700, 28
2013-10-16 18:36:30 -0700, 28
2013-10-17 19:52:41 -0700, 151
2013-10-18 20:17:03 -0700, 30
2013-10-19 19:44:01 -0700, 28
2013-10-20 19:25:26 -0700, 28
2013-10-21 19:42:40 -0700, 28
2013-10-22 20:03:58 -0700, 28
2013-10-23 19:14:40 -0700, 28
2013-10-24 19:41:11 -0700, 28
2013-10-25 18:50:43 -0700, 28
2013-10-26 21:49:32 -0700, 28
2013-10-27 20:24:57 -0700, 30
2013-10-28 20:30:07 -0700, 28
2013-10-29 20:41:52 -0700, 28
2013-10-30 21:10:05 -0700, 28
2013-11-01 12:12:40 -0700, 503
2013-11-03 03:20:24 -0800, 1
2013-11-04 02:01:58 -0800, 508
2013-11-04 19:50:24 -0800, 483
2013-11-05 19:38:10 -0800, 449
2013-11-06 19:42:03 -0800, 470
2013-11-07 19:46:37 -0800, 64
2013-11-08 19:59:57 -0800, 95
2013-11-09 19:25:27 -0800, 47
2013-11-10 19:41:26 -0800, 53
2013-11-11 20:06:38 -0800, 75
2013-11-12 20:14:35 -0800, 86
2013-11-13 19:31:38 -0800, 54
2013-11-14 19:36:58 -0800, 50
2013-11-15 19:30:04 -0800, 74
2013-11-16 19:23:38 -0800, 64
2013-11-17 19:38:30 -0800, 66
2013-11-18 19:29:34 -0800, 58
2013-11-19 19:43:19 -0800, 57
2013-11-20 16:22:34 -0800, 0
2013-11-21 19:35:41 -0800, 58
2013-11-23 19:42:05 -0800, 90
2013-11-24 19:53:33 -0800, 94
2013-11-25 19:52:29 -0800, 100
2013-11-26 18:38:15 -0800, 31
2013-11-27 18:43:30 -0800, 31
2013-11-28 18:51:19 -0800, 35
2013-11-29 05:51:14 -0800, 32
2013-11-29 18:37:10 -0800, 30
2013-11-30 18:40:02 -0800, 36
2013-12-01 18:50:07 -0800, 30
2013-12-02 20:30:19 -0800, 43
2013-12-03 20:01:12 -0800, 31
2013-12-04 19:51:06 -0800, 31
2013-12-05 18:53:34 -0800, 31
2013-12-06 18:33:37 -0800, 31
2013-12-07 18:35:03 -0800, 31
2013-12-08 18:51:22 -0800, 31
2013-12-09 18:45:11 -0800, 32
2013-12-10 18:53:18 -0800, 32
2013-12-11 19:02:10 -0800, 31
2013-12-12 18:55:51 -0800, 31
2013-12-13 18:37:12 -0800, 32
