date,value
2016-02-24 04:20:38 +0000,10897
2016-02-25 04:24:26 +0000,10904
2016-02-26 03:08:08 +0000,10983
2016-02-27 02:31:41 +0000,10984
2016-02-28 04:15:34 +0000,10984
2016-03-01 02:30:54 +0000,10988
2016-03-02 04:27:42 +0000,11001
2016-03-03 04:51:43 +0000,11006
2016-03-04 02:24:09 +0000,11006
2016-03-05 02:44:37 +0000,11006
2016-03-06 03:11:42 +0000,11006
2016-03-07 04:31:21 +0000,11006
2016-03-08 03:08:42 +0000,11006
2016-03-09 03:13:29 +0000,11004
2016-03-10 02:14:47 +0000,10765
2016-03-11 02:17:19 +0000,10891
2016-03-12 02:36:30 +0000,10192
2016-03-13 03:17:02 +0000,10435
2016-03-14 04:36:09 +0000,10852
2016-03-15 03:09:16 +0000,10902
2016-03-16 03:08:27 +0000,10909
2016-03-17 03:08:25 +0000,10929
2016-03-18 04:40:37 +0000,10829
2016-03-19 03:56:03 +0000,11087
2016-03-20 02:45:53 +0000,11087
2016-03-22 03:26:59 +0000,11087
2016-03-23 04:07:31 +0000,11087
2016-03-24 03:01:13 +0000,11091
2016-03-25 04:05:19 +0000,11091
2016-03-26 04:39:19 +0000,11093
2016-03-27 04:04:43 +0100,11093
2016-03-28 03:49:06 +0100,11093
2016-03-29 04:58:23 +0100,11093
2016-03-30 04:21:13 +0100,11093
2016-03-31 03:54:29 +0100,11097
2016-04-01 02:42:26 +0100,11100
2016-04-02 04:07:13 +0100,11100
2016-04-03 02:49:37 +0100,11100
2016-04-04 02:25:46 +0100,11100
2016-04-05 04:55:46 +0100,11100
2016-04-06 02:25:19 +0100,11104
2016-04-08 02:36:19 +0100,11104
2016-04-10 02:45:52 +0100,11110
2016-04-13 03:07:06 +0100,11113
2016-04-16 02:23:01 +0100,11115
2016-04-19 02:16:20 +0100,11115
2016-04-22 02:20:36 +0100,11115
2016-04-26 02:20:16 +0100,11119
2016-04-27 02:54:22 +0100,11120
2016-04-30 02:21:55 +0100,11138
