name,title,publisher_frequency,publisher_frequency_select,publisher_implementation_schedule,publisher_ui,publisher_field_exclusions,publisher_contact,image_url,display_name,publisher_iati_id,publisher_units,publisher_record_exclusions,publisher_data_quality,publisher_country,publisher_description,publisher_refs,publisher_thresholdspublisher_agencies,publisher_constraints,publisher_organization_type,publisher_segmentation,license_id,state,publisher_timeliness
pidg,Private Infrastructure Development Group,0,quarterly,http://www.pidg.org/resource-library/results-monitoring/2012-12-31-pidg-iati-implementation-schedule.xls/at_download/file,"Data published through AidStream as an XML stream will not be available on the PIDG website, however all the information published through AidStream is already available on the PIDG and PIDG Facility websites. ","Activity Dates (End Date) - Not Applicable. PIDG Facilities do not have an end date.

Sub-national Geographic Location - PIDG does not currently require the PIDG Facilities to provide the exact geographic location of each project.

Sector (DAC CRS) - Current PIDG reporting sectors do not exactly match the DAC RS sectors. 

Policy Markers - PIDG is not a policy organisation, therefore policy markers are not applicable.

Planned Disbursements - Not applicable for PIDG reporting due to the demand-led nature of the PIDG Facilities' operations.

Financial transaction (Reimbursement) - Not applicable to PIDG

Related Activity - N/A as funding relationships are picked up through financial transaction information.","PIDG c/o Programme Management Unit, MDY Legal, St. Nicholas House, St. Nicholas Rd, Sutton, Surrey, SM1 1EL. United Kingdom

info@pidg.org",http://www.pidg.org/++theme++plonetheme.pidg/images/pidg-logo.png,0,XM-DAC-47086,"Each ""Activity"" covers an individual PIDG Facility. Currently the PIDG Facilities are DevCo, EAIF, GAP, GuarantCo, ICF-DP, InfraCo Africa, InfraCo Asia Development, InfraCo Asia Investment and TAF.  Funds are also received from the EU-Africa Infrastructure Trust Fund for certain PIDG Facility projects, and also from DFID to be disbursed to AgDevCo.
","Most of the PIDG Facilities operate on a commercial basis, and as such certain project-level and financial information is commercially sensitive. PIDG has a Disclosure Policy and Procedures. All information will be published, unless if it falls within any of the exclusions set out in the PIDG Disclosure Policy and Procedures and cannot be disclosed.
http://www.pidg.org/resource-library/operating-policies-andprocedures/code-of-conduct-and-operating-policies-and-procedures-for-pidgparticipants",0,GB,"The Private Infrastructure Development Group (PIDG) was established as a donor-financed group to help overcome the obstacles to private sector involvement in infrastructure development in developing countries. 

It was was founded in 2001 on the twin beliefs that promoting growth and fighting poverty in developing countries demands serious investment in infrastructure and that the level of funding required in the poorer developing countries is such that the private sector has a crucial role to play in helping to achieve this priority. If the private sector is to be attracted to invest in infrastructure projects in these countries, it will need expert and reliable encouragement and support.

Through a group of subsidiary companies (the PIDG Facilities), PIDG offers specialised financing and project development expertise. Each Facility can customise the right solution for each set of circumstances. Together, these companies are designed to get infrastructure initiatives off the ground, in countries which find investment hard to attract.","The PIDG Annual Report, Results Monitoring Handbook, Audited Financial Statements, Operating Policies and Procedures, and Funding Instruments can be found in the Resource Library on the PIDG website - http://www.pidg.org/resource-library",0,0,40,No Segmentation. ,notspecified,active,"Updated quarterly, sixty-days after quarter end."
signal,Signal,0,not_specified,0,0,0,Karen Goodman-Jones,http://www.signal.org.uk/wp-content/uploads/2014/07/Signal-Logo.jpg,0,GB-CHC-1151615,0,0,0,GB,International Programmes Manager. Managing all aspects of Signal's overseas activities.,0,0,0,21,0,odc-pddl,active,0
wowni,War on Want NI,0,quarterly,0,0,0,"War on Want NI
1 Rugby Avenue
Belfast
BT7 1RD

Email: information@waronwantni.org
Phone: 028 9023 2064",0,0,GB-COH-NI011322,Projects,0,0,GB,"War on Want NI is an International NGO working partnership with local poverty alleviation groups (partners) representing the most vulnerable people in rural areas of Uganda and Malawi. We provide financial, organisational and capacity building support to bring about sustainable livelihood security, increased household income and support people to access available resources. Gender, environment and HIV are cross cutting themes in all our areas of work.

We raise funds from the a network of charity shop, fundraising from the general public and from statutory organisations and philanthropic groups.",0,0,0,21,0,notspecified,active,0
wf-asia,Women's Fund Asia,0,not_specified,0,0,0,"WOMEN’S FUND ASIA, 126, Polhengoda Road, Colombo 5, Sri Lanka ",0,0,LK-DRC-GA139,0,0,0,LK,"Women’s Fund Asia is a regional women’s fund, committed to supporting women and trans* people led interventions to enhance and strengthen access to women’s and trans* people’s human rights. We envision a peaceful and egalitarian region in which women’s and trans* people’s participation, leadership and enjoyment of all their human rights is ensured and secure.",0,0,0,23,0,odc-by,active,0
dec-uk,Disasters Emergency Committee,0,not_specified,0,0,0,0,0,0,GB-CHC-1062638,0,0,0,GB,0,0,0,0,22,0,notspecified,active,0
bismsi,Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,0,not_specified,0,0,0,0,0,0,BE-BCE_KBO-0478060441,0,0,0,BE,0,0,0,0,22,0,notspecified,active,0
aanl,Stichting ActionAId,0,quarterly,0,0,0,"Marianne Remie
Head of Finance & Support
+31205206210",0,0,NL-KVK-41217595,0,0,0,NL,"We focus on the people that others forget. People in poverty. People who face discrimination. People whose voices are ignored.

We help people fight for the rights that they are denied. Simple things, like the right to eat. The right to stay on their land. To an education. To have a say in the decisions that shape their lives.

We’re not about giving handouts or telling people what to do, because in the long run we know that doesn’t work. Instead, we use our resources, influence and experience to help people find their own solutions.

We listen to what people really want and need. We help communities take action together to hold their governments to account, and we give local organisations our support where they need it. Together, we’re making a lasting difference.",0,0,0,21,0,other-nc,active,0
free_press_unlimited,Free Press Unlimited,0,quarterly,0,0,0,0,https://www.freepressunlimited.org/sites/all/themes/fpu/images/logo.png,0,NL-KVK-52957535,0,See exclusion policy attached to organisation file. ,0,NL,0,0,0,0,21,0,cc-by-sa,active,0
fida,Federation of Women Lawyers Kenya,0,not_specified,0,0,0,"FIDA Kenya, 
Amboseli Road, off Gitanga Road, Lavington, 
Nairobi, Kenya 
",0,0,KE-NCB-218/051/93132/90,0,0,0,KE,0,0,0,0,22,0,notspecified,active,0
knmi,Koninklijk Nederlands Meteorologisch Instituut,0,quarterly,0,0,0,"PO Box 201
NL3730AE De Bilt
the Netherlands",0,0,NL-KVK-30276595,project reporting,0,0,NL,project manager international project,0,0,0,10,separate files per institution,odc-by,active,within 3 months
worldbank,The World Bank,"Data will be made available initially on a semi-annual basis and will cover quarterly information for the previous six month period.  We intend to work towards the automation of our internal processes in order to increase the frequency.  Once the process is automated, data can be made available every quarter.",0,0,This is not envisioned at this time. All World Bank Projects can be accessed at http://www.worldbank.org/projects.,0,pic@worldbank.org,0,0,44000,An activity is defined by  a “project” or “operation” in the case of policy based loans.  Each project may have multiple components in multiple sectors or themes.  The Bank will publish information at the project level.,"The overarching policy that will guide reporting according to IATI standards will be the Bank’s Access to Information Policy, which assumes all information is disclosed unless it falls under a restricted list.  Please refer to the World Bank Access to Information Policy (a public document http://go.worldbank.org/LN06W7ZCB0) for further details.",Data published in the IATI registry will be verified data only. Data will be published at the project level aggregated by quarter.,998,0,0,0,0,40,"We will provide a comprehensive list of all IBRD/IDA projects (identifying multi-country/regional ones)  which is not segmented by country.  The list will contain relevant country information – if anyone is interested in extracting country level information, they would be able to do so.",other-at,active,See Frequency below.
hai,Stichting Health Action International,0,quarterly,http://haiweb.org/wp-content/uploads/2016/03/SRHR-Workplan.pdf,"Yes, outputs will be transparent.",N/A,"zuzana@haiweb.org
",http://haiweb.org/hai-color-web1,0,NL-KVK-41207580,"For HAI it is one project, that contributes to the HSA4A programme. There are different strands to the project; core research managed centrally but conducted at country level; and country programmes, but we will report as our activity to deliver on MS platforms as one report, broken into country platforms and activities.",N/A,"We have a clearance process, so published material is internally checked for quality, accuracy and is verified. Sometimes it is peer reviewed, before publication. ",NL,"• research and share evidence on the price, availability and affordability of medicines, pharmaceutical marketing, adverse drug reactions and more.
• build the expert capacity of civil society organisations in developing countries so they can hold governments accountable for ensuring access to affordable medicines.
• analyse data and provide recommendations for government policies that impact medicines access and use.
• hold duty bearers to account by exposing poor business practices that threaten proper medicine use and affordable access.
• lead public awareness campaigns to raise awareness of medicine access and use issues.
• manage large-scale projects with numerous partners and stakeholders.
", http://haiweb.org/work-area/sexual-reproductive-health,0,N/A,60,Per country,notspecified,active,"Periodically, within two weeks, depending on the type of data. "
ceci,Center for International Studies and Cooperation,0,not_specified,0,0,0,"3000 Omer Lavallee,
Montreal QC H1Y 3R8
Canada",https://www.ceci.ca/assets/images/ceci.svg,0,CA-CRA_ACR-118846575,0,0,0,CA,0,0,0,0,21,0,odc-odbl,active,0
simone_sympany,Sympany+,0,annually,0,0,0,"Simone Weert 
s.weert@sympany.nl",0,0,NL-KVK-30285304,0,0,0,NL,0,0,0,0,21,0,notspecified,active,0
wgnrr_iati,Women's Global Network on Reproductive Rights,0,not_specified,0,0,0,"3 Marunong Street
Quezon City
Philippines",0,0,PH-SEC-FN200806591,0,0,0,PH,0,0,0,0,21,0,notspecified,active,0
genesis,Genesis Analytics,0,not_specified,0,0,0,"Office 3
50 6th Road
Hyde Park
2196
Johannesburg, Gauteng
South Africa",https://drive.google.com/drive/u/1/folders/1Iys_nLnK1OlS4lLHG8qtJePT_c727qBG?ogsrc=32,0,ZA-CIP-1998/001950/07,0,0,0,ZA,0,0,0,0,70,0,notspecified,active,0
eel,Exeter Ethiopia Link,0,annually,Not created,0,0,Mark Smith Exeter Ethiopia Link   marksm66@yahoo.com,http://www.exeterethiopialink.org/images/logo%20yellow%20small.jpg,0,GB-CHC-1154085,Projects and Programmes (The DFID funded project),0,Verified,GB,We are a voluntary organisation with members mostly in Exeter and the Southwest. Our aim is to encourage and support small but sustainable development projects in Western Ethiopia,0,0,0,21,One file (work only in one country/region),other-open,active,Within 3 months
finance_canada,Canada Department of Finance / Ministère des Finances Canada,quarterly/trimestrielle,quarterly,http://www.fin.gc.ca/assistance-aide/schedule-plan-eng.asp,This data is available through the IATI section of the Finance Canada website / Cette information est publiée dans la section IATI du site Web de Finances Canada.,Please refer to former CIDA's IATI Standard Implementation Schedule / Veuillez consulter le plan de mise en oeuvre de la norme de l'IITA de l'ex-ACDI,finpub@fin.gc.ca ,0,0,CA-4,0,Please refer to former CIDA's IATI Standard Implementation Schedule / Veuillez consulter le plan de mise en oeuvre de la norme de l'IITA de l'ex-ACDI,The data is operational and subject to change / Les données sont opérationnelles et sont sujets à changement ,CA,"The Department helps the Government of Canada develop and implement strong and sustainable economic, fiscal, tax, social, security, international and financial sector policies and programs. / Le Ministère aide le gouvernement du Canada à élaborer et à mettre en œuvre des politiques et des programmes solides et durables sur les plans économique, fiscal, social, de même qu'en matière de sécurité et dans les secteurs financier et international.",0,0,Please refer to former CIDA's IATI Standard Implementation Schedule / Veuillez consulter le plan de mise en oeuvre de la norme de l'IITA de l'ex-ACDI,10,"Yes/ Oui Finance Canada is publishing two files: an Activity Files containing information about its projects, and an Organization File with department-level development information. Finances Canada publie deux fichiers : un fichier des activités, qui renferme de l'information sur ses projets, et un fichier de l'organisation, qui fournit les renseignements du ministère sur le développement. 
",notspecified,active,one month/un mois
vao,Vision Aid Overseas,Quarterly,0,0,0,0,"fiona.lamont@visionaidoverseas.org
01293 535 016",0,0,GB-CHC-1081695,0,0,0,GB,Programme Officer,0,0,0,21,0,notspecified,active,Quarterly
